"Contractor_Name","Contractor_Details_URL","State_Local_Auth","Contract_Number","Phone","Location","Socio_Economic_Indicators","Contractor_TC_Price_List","View_Catalog"
3M COMPANY,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4002G&contractorName=3M+COMPANY&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4002G,(801) 265-4619,"SAINT PAUL ,MN",o,https://www.gsaadvantage.gov/ref_text/GS35F4002G/GS35F4002G_online.htm,advRedirect.do?contract=GS-35F-4002G&sin=132+51&src=elib&app=cat
"3SL, INCORPORATED",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0008V&contractorName=3SL%2C+INCORPORATED&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0008V,(256)971-9500,"HUNTSVILLE ,AL",s,https://www.gsaadvantage.gov/ref_text/GS35F0008V/GS35F0008V_online.htm,
3T INTERNATIONAL INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0883R&contractorName=3T+INTERNATIONAL+INC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0883R,(703) 255-4616,"VIENNA ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F0883R/GS35F0883R_online.htm,advRedirect.do?contract=GS-35F-0883R&sin=132+51&src=elib&app=cat
4LIBERTY INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-229AA&contractorName=4LIBERTY+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-229AA,(619)894-4548,"SAN DIEGO ,CA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F229AA/GS35F229AA_online.htm,
"4M RESEARCH, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-047CA&contractorName=4M+RESEARCH%2C+INC.&executeQuery=YES,,GS-35F-047CA,256-319-4646,"HUNTSVILLE ,AL",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F047CA/GS35F047CA_online.htm,advRedirect.do?contract=GS-35F-047CA&sin=132+51&src=elib&app=cat
"4N2N SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-442DA&contractorName=4N2N+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-442DA,8503892998,"NICEVILLE ,FL",s/v,https://www.gsaadvantage.gov/ref_text/GS35F442DA/GS35F442DA_online.htm,advRedirect.do?contract=GS-35F-442DA&sin=132+51&src=elib&app=cat
4TELL SOLUTIONS LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0174W&contractorName=4TELL+SOLUTIONS+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0174W,207-828-7900,"PORTLAND ,ME",s,https://www.gsaadvantage.gov/ref_text/GS35F0174W/GS35F0174W_online.htm,advRedirect.do?contract=GS-35F-0174W&sin=132+51&src=elib&app=cat
"5X TECHNOLOGY, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0412U&contractorName=5X+TECHNOLOGY%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0412U,858-777-1650,"SAN DIEGO ,CA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F0412U/GS35F0412U_online.htm,advRedirect.do?contract=GS-35F-0412U&sin=132+51&src=elib&app=cat
"6E TECHNOLOGIES, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0065Y&contractorName=6E+TECHNOLOGIES%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0065Y,303-818-4971,"BROOMFIELD ,CO",s/w/d,https://www.gsaadvantage.gov/ref_text/GS35F0065Y/GS35F0065Y_online.htm,advRedirect.do?contract=GS-35F-0065Y&sin=132+51&src=elib&app=cat
"6K SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0883N&contractorName=6K+SYSTEMS%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0883N,703-724-1320,"RESTON ,VA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0883N/GS35F0883N_online.htm,advRedirect.do?contract=GS-35F-0883N&sin=132+51&src=elib&app=cat
8 CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-328CA&contractorName=8+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-328CA,703-307-0902,"ALEXANDRIA ,VA",s/h,https://www.gsaadvantage.gov/ref_text/GS35F328CA/GS35F328CA_online.htm,advRedirect.do?contract=GS-35F-328CA&sin=132+51&src=elib&app=cat
"911 ETC, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0585N&contractorName=911+ETC%2C+INC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0585N,623-243-2260,"GOODYEAR ,AZ",s,https://www.gsaadvantage.gov/ref_text/GS35F0585N/GS35F0585N_online.htm,advRedirect.do?contract=GS-35F-0585N&sin=132+51&src=elib&app=cat
"A & T SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-247DA&contractorName=A+%26+T+SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-247DA,240-705-7825,"SILVER SPRING ,MD",s,https://www.gsaadvantage.gov/ref_text/GS35F247DA/GS35F247DA_online.htm,advRedirect.do?contract=GS-35F-247DA&sin=132+51&src=elib&app=cat
"A BETTER SOLUTION, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0164X&contractorName=A+BETTER+SOLUTION%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0164X,(770) 252-1500,"CONLEY ,GA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0164X/GS35F0164X_online.htm,advRedirect.do?contract=GS-35F-0164X&sin=132+51&src=elib&app=cat
"A P VENTURES, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-281CA&contractorName=A+P+VENTURES%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-281CA,301-760-7276,"COLUMBIA ,MD",s/w/wo/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F281CA/GS35F281CA_online.htm,advRedirect.do?contract=GS-35F-281CA&sin=132+51&src=elib&app=cat
A SQUARE GROUP LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0636Y&contractorName=A+SQUARE+GROUP+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0636Y,301-770-1400 (EXT. 3,"ROCKVILLE ,MD",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F0636Y/GS35F0636Y_online.htm,advRedirect.do?contract=GS-35F-0636Y&sin=132+51&src=elib&app=cat
"A+ GOVERNMENT SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0565T&contractorName=A%2B+GOVERNMENT+SOLUTIONS%2C+LLC&executeQuery=YES,,GS-35F-0565T,571-388-5678,"ARLINGTON ,VA",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0565T/GS35F0565T_online.htm,advRedirect.do?contract=GS-35F-0565T&sin=132+51&src=elib&app=cat
"A-B COMPUTER SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0593T&contractorName=A-B+COMPUTER+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0593T,985-624-3092,"MANDEVILLE ,LA",s/w,https://www.gsaadvantage.gov/ref_text/GS35F0593T/GS35F0593T_online.htm,advRedirect.do?contract=GS-35F-0593T&sin=132+51&src=elib&app=cat
A-TEK INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0680K&contractorName=A-TEK+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0680K,7034436900,"MCLEAN ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F0680K/GS35F0680K_online.htm,advRedirect.do?contract=GS-35F-0680K&sin=132+51&src=elib&app=cat
A.B. CLOSING CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-245BA&contractorName=A.B.+CLOSING+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-245BA,407-243-6008,"ORLANDO ,FL",s/w/wo/d,https://www.gsaadvantage.gov/ref_text/GS35F245BA/GS35F245BA_online.htm,advRedirect.do?contract=GS-35F-245BA&sin=132+51&src=elib&app=cat
A3 CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-023AA&contractorName=A3+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-023AA,301-534-2192,"UPPER MARLBORO ,MD",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F023AA/GS35F023AA_online.htm,advRedirect.do?contract=GS-35F-023AA&sin=132+51&src=elib&app=cat
AAC INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4841H&contractorName=AAC+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4841H,703-918-6363,"VIENNA ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F4841H/GS35F4841H_online.htm,advRedirect.do?contract=GS-35F-4841H&sin=132+51&src=elib&app=cat
AASKI TECHNOLOGY INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-277DA&contractorName=AASKI+TECHNOLOGY+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-277DA,732-578-1250 X224,"TINTON FALLS ,NJ",o,https://www.gsaadvantage.gov/ref_text/GS35F277DA/GS35F277DA_online.htm,advRedirect.do?contract=GS-35F-277DA&sin=132+51&src=elib&app=cat
ABACUS SERVICE CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-351CA&contractorName=ABACUS+SERVICE+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-351CA,(248) 522-8005,"FARMINGTON HILLS ,MI",s/w/wo/ew/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F351CA/GS35F351CA_online.htm,advRedirect.do?contract=GS-35F-351CA&sin=132+51&src=elib&app=cat
"ABACUS SOLUTIONS GROUP, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0250X&contractorName=ABACUS+SOLUTIONS+GROUP%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0250X,210-293-6405,"WOODLAND PARK ,CO",s/w/wo/dv,https://www.gsaadvantage.gov/ref_text/GS35F0250X/GS35F0250X_online.htm,advRedirect.do?contract=GS-35F-0250X&sin=132+51&src=elib&app=cat
ABACUS TECHNOLOGY CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4934G&contractorName=ABACUS+TECHNOLOGY+CORPORATION&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-4934G,301-907-2458,"CHEVY CHASE ,MD",o,https://www.gsaadvantage.gov/ref_text/GS35F4934G/GS35F4934G_online.htm,advRedirect.do?contract=GS-35F-4934G&sin=132+51&src=elib&app=cat
"ABACUS-N-BYTES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0512L&contractorName=ABACUS-N-BYTES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0512L,240-292-7620,"SILVER SPRING ,MD",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0512L/GS35F0512L_online.htm,advRedirect.do?contract=GS-35F-0512L&sin=132+51&src=elib&app=cat
"ABBA TECHNOLOGIES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0595K&contractorName=ABBA+TECHNOLOGIES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0595K,505-889-3337,"ALBUQUERQUE ,NM",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0595K/GS35F0595K_online.htm,advRedirect.do?contract=GS-35F-0595K&sin=132+51&src=elib&app=cat
"ABBTECH PROFESSIONAL RESOURCES, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0080K&contractorName=ABBTECH+PROFESSIONAL+RESOURCES%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0080K,703-450-5252,"STERLING ,VA",s/w,https://www.gsaadvantage.gov/ref_text/GS35F0080K/GS35F0080K_online.htm,advRedirect.do?contract=GS-35F-0080K&sin=132+51&src=elib&app=cat
"ABC DATA ENTRY SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0313W&contractorName=ABC+DATA+ENTRY+SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0313W,(312)455-1199,"ELMWOOD PARK ,IL",s/dv/d,https://www.gsaadvantage.gov/ref_text/GS35F0313W/GS35F0313W_online.htm,
ABLEVETS LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-315DA&contractorName=ABLEVETS+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-315DA,7033809313,"CHANTILLY ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F315DA/GS35F315DA_online.htm,advRedirect.do?contract=GS-35F-315DA&sin=132+51&src=elib&app=cat
ABN TECHNOLOGIES LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0626S&contractorName=ABN+TECHNOLOGIES+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0626S,2539641745,"TACOMA ,WA",s/w/v/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0626S/GS35F0626S_online.htm,advRedirect.do?contract=GS-35F-0626S&sin=132+51&src=elib&app=cat
"ABOUT WEB, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0072T&contractorName=ABOUT+WEB%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0072T,301-468-9246 X103,"GAITHERSBURG ,MD",s,https://www.gsaadvantage.gov/ref_text/GS35F0072T/GS35F0072T_online.htm,advRedirect.do?contract=GS-35F-0072T&sin=132+51&src=elib&app=cat
ABRAXAS CORPORATION,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0091W&contractorName=ABRAXAS+CORPORATION&executeQuery=YES,,GS-35F-0091W,703-821-8930 X 261,"HERNDON ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0091W/GS35F0091W_online.htm,advRedirect.do?contract=GS-35F-0091W&sin=132+51&src=elib&app=cat
"ABSS SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-292AA&contractorName=ABSS+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-292AA,(703)853-4284,"UPPER MARLBORO ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F292AA/GS35F292AA_online.htm,
ABT ASSOCIATES INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-486CA&contractorName=ABT+ASSOCIATES+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-486CA,301-634-1746,"CAMBRIDGE ,MA",o,https://www.gsaadvantage.gov/ref_text/GS35F486CA/GS35F486CA_online.htm,advRedirect.do?contract=GS-35F-486CA&sin=132+51&src=elib&app=cat
ACCEL BI CORPORATION (DBA: ACCEL BI),contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0518W&contractorName=ACCEL+BI+CORPORATION&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0518W,80066517142,"SEATTLE ,WA",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0518W/GS35F0518W_online.htm,advRedirect.do?contract=GS-35F-0518W&sin=132+51&src=elib&app=cat
"ACCELERA SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0391P&contractorName=ACCELERA+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0391P,703-288-0182,"FAIRFAX ,VA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0391P/GS35F0391P_online.htm,advRedirect.do?contract=GS-35F-0391P&sin=132+51&src=elib&app=cat
ACCELERATED SOLUTIONS INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-041DA&contractorName=ACCELERATED+SOLUTIONS+INC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-041DA,770-442-8200,"ALPHARETTA ,GA",s,https://www.gsaadvantage.gov/ref_text/GS35F041DA/GS35F041DA_online.htm,advRedirect.do?contract=GS-35F-041DA&sin=132+51&src=elib&app=cat
